creationDate		 modificationDate	 substring		Filesize
|27.10.2017 10:34:01|	|20.10.2017 10:41:48|	|2017-10-20_10-41-44|	|    3.19 KB|
|27.10.2017 10:34:01|	|20.10.2017 10:42:12|	|2017-10-20_10-42-08|	|    5.85 KB|
|27.10.2017 10:34:01|	|20.10.2017 10:42:26|	|2017-10-20_10-42-24|	|    2.28 KB|
|27.10.2017 10:34:01|	|20.10.2017 10:44:48|	|2017-10-20_10-44-46|	|    2.61 KB|
|27.10.2017 10:34:01|	|20.10.2017 10:44:50|	|2017-10-20_10-44-48|	|    2.01 KB|
|27.10.2017 10:34:01|	|20.10.2017 10:45:10|	|2017-10-20_10-45-05|	|    5.39 KB|
|27.10.2017 10:34:01|	|20.10.2017 10:45:14|	|2017-10-20_10-45-10|	|    4.67 KB|
|27.10.2017 10:34:01|	|20.10.2017 10:45:34|	|2017-10-20_10-45-29|	|    5.83 KB|
|27.10.2017 10:34:01|	|20.10.2017 10:45:38|	|2017-10-20_10-45-35|	|    2.06 KB|
|27.10.2017 10:34:01|	|20.10.2017 12:42:08|	|2017-10-20_10-46-29|	|21719.61 KB|
|27.10.2017 10:34:15|	|20.10.2017 18:48:28|	|2017-10-20_12-46-45|	|67627.64 KB|
|27.10.2017 10:34:33|	|23.10.2017 09:55:12|	|2017-10-23_07-44-08|	|24997.00 KB|
|27.10.2017 10:34:39|	|23.10.2017 09:55:48|	|2017-10-23_09-55-34|	|   20.85 KB|
|27.10.2017 10:34:39|	|23.10.2017 09:56:00|	|2017-10-23_09-55-57|	|    3.00 KB|
|27.10.2017 10:34:39|	|23.10.2017 09:57:10|	|2017-10-23_09-57-06|	|    2.68 KB|
|27.10.2017 10:34:39|	|23.10.2017 09:58:54|	|2017-10-23_09-58-51|	|    9.71 KB|
|27.10.2017 10:34:39|	|23.10.2017 17:13:24|	|2017-10-23_09-58-55|	|83518.18 KB|
|27.10.2017 10:35:05|	|24.10.2017 07:55:22|	|2017-10-24_07-55-19|	|    2.14 KB|
|27.10.2017 10:35:05|	|24.10.2017 07:55:28|	|2017-10-24_07-55-26|	|    1.79 KB|
|27.10.2017 10:35:05|	|24.10.2017 07:56:34|	|2017-10-24_07-56-31|	|    6.68 KB|
|27.10.2017 10:35:06|	|24.10.2017 07:57:32|	|2017-10-24_07-57-29|	|    2.26 KB|
|27.10.2017 10:35:06|	|24.10.2017 07:57:34|	|2017-10-24_07-57-31|	|    1.93 KB|
|27.10.2017 10:35:06|	|24.10.2017 08:58:00|	|2017-10-24_08-30-32|	| 5126.49 KB|
|27.10.2017 10:35:07|	|24.10.2017 11:02:14|	|2017-10-24_08-58-16|	|23414.48 KB|
|27.10.2017 10:35:20|	|24.10.2017 13:21:48|	|2017-10-24_11-10-10|	|24379.46 KB|
|27.10.2017 10:35:27|	|24.10.2017 13:32:42|	|2017-10-24_13-25-34|	|  627.96 KB|
|27.10.2017 10:35:27|	|24.10.2017 15:29:12|	|2017-10-24_13-32-57|	|21354.74 KB|
|27.10.2017 10:35:39|	|25.10.2017 08:51:30|	|2017-10-25_08-51-27|	|    3.46 KB|
